Name,2oz Price,1oz Price,1/2oz Price,Spirit
Bunnahabhain 12yr,21,11,,Scotch Whiskey
Cadenhead Bunnahabhain 7r,20,10,,Scotch Whiskey
Cadenhead Ardmore 11yr,22,11,,Scotch Whiskey
Campbelltown Loch,16,,,Scotch Whiskey
Clydeside,20,10,,Scotch Whiskey
Alexander Murray Caol Ila 8yr,60,30,15,Scotch Whiskey
Caol Ila 12yr,24,12,,Scotch Whiskey
Caol Ila Stitchell Reserve 2013 Release,,30,15,Scotch Whiskey
Cragganmore 21yr 1989,,,30,Scotch Whiskey
Craigellachie 13yr,20,10,,Scotch Whiskey
Dalmore 12yr,,,16,Scotch Whiskey
Dalmore 15yr,,,18,Scotch Whiskey
Duncan Taylor Blair Athol 23yr,,,40,Scotch Whiskey
Duncan Taylor Highland Park 19yr,80,40,20,Scotch Whiskey
Duncan Taylor Ivergordon 38yr,,,60,Scotch Whiskey
Duncan Taylor Linkwood 19yr,,,30,Scotch Whiskey
Duncan Taylor Springbank 18yr,,,30,Scotch Whiskey
Edradour Straight From the Cask 10yr Sherry Butt (2019 bottling),,50,25,Scotch Whiskey
English Whisky Co.,,,25,Scotch Whiskey
GlenAllachie 10yr Cask Strength,24,12,,Scotch Whiskey
GlenAllachie 12yr,,,16,Scotch Whiskey
GlenDronach 12yr,,,16,Scotch Whiskey
GlenDronach 19yr 1995 Release,120,60,30,Scotch Whiskey
GlenDronach 1996,,,50,Scotch Whiskey
GlenDronach Allardice 18yr,26,13,,Scotch Whiskey
GlenDronach Peated,,,40,Scotch Whiskey
Glenfarclas 21yr,35,18,,Scotch Whiskey
Glenfiddich 12yr,,,14,Scotch Whiskey
Glenfiddich Gran Reserva 21yr,,60,30,Scotch Whiskey
Glenfiddich Grand Cru 23yr Cuvée Cask,,60,30,Scotch Whiskey
Glenfiddich IPA Cask Finish,,,18,Scotch Whiskey
Glenlivet 12yr,20,10,,Scotch Whiskey
Glenlivet 14yr Congac Cask,,,16,Scotch Whiskey
Glenlivet 15yr French Oak,,,18,Scotch Whiskey
Glenlivet 20yr French Oak 1983,,,40,Scotch Whiskey
Glenmorangie 10yr,,,15,Scotch Whiskey
Glen Scotia Campbeltown Malt Fest 2023,24,12,,Scotch Whiskey
Gordon & MacPhail Bunnahabhain 8yr,,,15,Scotch Whiskey
Gordon & MacPhail Connoisseurs Choice Old Pulteney 15yr,,100,50,Scotch Whiskey
Gordon & MacPhail Connoisseurs Choice Tomatin 20yr,,100,50,Scotch Whiskey
Gordon & MacPhail Highland Park 8yr,,,15,Scotch Whiskey
Gordon & MacPhail Longmorn 10yr,,60,30,Scotch Whiskey
Gordon & MacPhail Port Ellen 1982,,,200,Scotch Whiskey
Highland Park 12yr,,,17,Scotch Whiskey
Highland Park 15yr,23,,,Scotch Whiskey
Highland Park 18yr,50,25,13,Scotch Whiskey
Highland Park 21yr,100,50,25,Scotch Whiskey
Inchmurrin 28yr,,,50,Scotch Whiskey
Jura 10yr,,,14,Scotch Whiskey
Kilchoman 2007 Vintage,,60,30,Scotch Whiskey
Kilchoman Comriach,35,18,,Scotch Whiskey
Kilchoman Machir Bay,,,16,Scotch Whiskey
Kilchoman USA Small Batch #6,,40,20,Scotch Whiskey
Kilchoman USA Small Batch #7,,40,20,Scotch Whiskey
Knockando 1975,,,100,Scotch Whiskey
Lagavulin 8yr,,,17,Scotch Whiskey
Lagavulin 16yr,32,16,,Scotch Whiskey
Laphroaig 10yr,,,16,Scotch Whiskey
Laphroaig 25yr,,100,50,Scotch Whiskey
Longmorn 12yr,,60,30,Scotch Whiskey
Macallan 12yr,25,13,,Scotch Whiskey
Macallan Harmony,,20,10,Scotch Whiskey
Miltonduff 10yr,,40,20,Scotch Whiskey
Alexander Murray 2005 Laphroaig 12yr,60,30,15,Scotch Whiskey
Murray McDavid Laphroaig 1999 10yr,,,30,Scotch Whiskey
Murray McDavid Bunnahabhain 1997 13yr Château Lafite Cask,,,30,Scotch Whiskey
Murray McDavid Bowmore 1999 11yr,,,30,Scotch Whiskey
Murray McDavid Caol Ila 1990 17yr,,,30,Scotch Whiskey
Murray McDavid Mortlach 1990 18yr Leroy Vosne Romanee,,80,40,Scotch Whiskey
Oban 14yr,26,13,,Scotch Whiskey
Oban 18yr,40,20,10,Scotch Whiskey
Port Askaig 110pf,20,10,,Scotch Whiskey
Port Askaig 25yr,,60,30,Scotch Whiskey
Rosebank 21yr,,,200,Scotch Whiskey
Samaroli 1980 Caol Ila,,,60,Scotch Whiskey
Samaroli 1989 Glenburgie,,,60,Scotch Whiskey
Samaroli 1992 Glen Scotia,,,60,Scotch Whiskey
Samaroli 1967 Tomintoul,,,100,Scotch Whiskey
Signatory Vintage 1990 Caol Ila 15yr,60,30,15,Scotch Whiskey
Signatory Vintage 1997 Glenlivet 16yr,,40,20,Scotch Whiskey
Signatory Vintage 2006 Glenlivet 11yr,40,20,10,Scotch Whiskey
Signatory Vintage Highland Park 15yr,80,40,20,Scotch Whiskey
Signatory Vintage 2007 Inchgower 11yr,,30,15,Scotch Whiskey
Signatory Vintage 1998 Laphroaig 15yr,,40,20,Scotch Whiskey
Signatory Vintage 1992 Longmorn 18yr,,50,25,Scotch Whiskey
Single Cask Nation Benrinnes 10yr,24,12,,Scotch Whiskey
Single Cask Nation Caol Ila 8yr,22,11,,Scotch Whiskey
Single Cask Nation Inchgower 10yr,30,15,,Scotch Whiskey
Single Cask Nation Linkwood 13yr,40,20,10,Scotch Whiskey
"Single Cask Nation ""Take 2""",20,10,,Scotch Whiskey
Single Malts of Scotland Highland Park 16yr,60,30,15,Scotch Whiskey
Springbank 10yr,30,15,,Scotch Whiskey
Talisker 10yr,,,18,Scotch Whiskey
Talisker Storm,20,10,,Scotch Whiskey
The Maltman Highland Park 11yr,,,20,Scotch Whiskey
Tomatin 18yr,20,10,,Scotch Whiskey
Tomatin Pedro Ximenez Cask 12yr,,40,20,Scotch Whiskey
Tomintoul 12yr,,,15,Scotch Whiskey
Tomintoul 14yr,24,12,,Scotch Whiskey
Tomintoul 16yr,,,18,Scotch Whiskey
Tomintoul Peated,20,10,,Scotch Whiskey
Tomintoul 21yr Speyside Glenlivet,40,20,10,Scotch Whiskey
